,Finished,Involvement,Jag_Assoc,Jagathon Identity,ID_JagCom,ID_JagOverlap,ID_JagAttach,ID_JagBelong,ID_JagValue,ID_JagImportant,IUPUI Identity,ID_iupuiCom,ID_iupuiOverlap,ID_iupuiAttach,ID_iupuiBelong,ID_iupuiValue,ID_iupuiImportant,Feelings Towards Jagathon,Jag_feelings_overall,Jag_feelings_pleasant,Jag_feelings_attractive,Future Participation,Future Donation,Age,Gender,Race,Student Status,iupuiStatus_value,iupuiStatus_other,Employment,Zip
18,1,No Involvement,8,3.33,4,4,4,4,3,1,4.33,6,4,4,4,4,4,5.5,6.2,4.5,5.8,5,5,26,2,4,Graduate,5,,2,46202
19,1,No Involvement,"3,8",2.83,3,3,3,3,3,2,6.17,7,6,6,6,6,6,6.23,6.1,6.2,6.4,5,6,23,2,4,Graduate,5,,2,94521
20,1,Some Involvement,2,5.67,6,5,6,3,7,7,5.5,6,6,6,5,5,5,3.5,4.1,2.9,3.5,2,2,22,2,1,Graduate,5,,4,46226
21,1,Some Involvement,1,2.67,4,4,2,2,2,2,5.5,6,6,6,6,5,4,5.47,5,6.1,5.3,3,3,22,2,1,Graduate,5,,2,47274
22,1,High Involvement,"2,4,7",6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,5,23,2,1,Graduate,5,,2,47274
23,1,No Involvement,"3,8",2,2,2,2,2,2,2,6,7,5,6,6,6,6,4,4,4,4,4,4,26,2,1,Graduate,5,,4,46237
24,1,No Involvement,1,2,2,2,2,2,2,2,7,7,7,7,7,7,7,4.57,4,4,5.7,2,4,24,1,1,Other,7,,4,46204
25,1,Some Involvement,"1,3",1.33,2,1,1,1,2,1,5.5,5,5,6,6,6,5,3.23,2.7,4.3,2.7,1,2,23,2,1,Graduate,5,,2,46208
26,1,No Involvement,8,1,1,1,1,1,1,1,5.33,6,4,7,7,4,4,5.33,5,5,6,5,6,28,2,4,Graduate,5,,2,46143
27,1,No Involvement,8,4,4,4,4,4,4,4,4.33,4,5,4,5,4,4,4,4,4,4,4,4,25,1,4,Graduate,5,,2,46202
28,1,No Involvement,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23.5,1,7,Graduate,5,,4,12345
29,1,No Involvement,8,4,5,5,5,5,2,2,1,1,1,1,1,1,1,6.1,6.1,6.3,5.9,5,3,41,1,2,Undergraduate,4,,4,46037
